ICAO24,Latitude,Longitude,Track,Altitude,Vitesse,Squawk,Radar_Feeder,Type_avion,Registration,Temps_UNIX,Depart,Arrivee,Num_IATA,On_ground,Vertical_Speed,Num_ICAO,Code_ICAO
C07966,42.5892,-77.5104,292,28000,334,1170,F-CYPQ1,BCS3,C-GTZH,1645968417,LGA,YYZ,AC703,0,0,ACA0703,ACA
C051E4,45.4716,-73.7232,222,275,100,0615,F-CYUL4,A333,C-GFAH,1645968418,YUL,YVR,AC301,0,0,ACA301,ACA
C066FB,43.7885,-78.4978,69,22250,473,6350,F-CYTR1,BCS3,C-GMZY,1645968418,YYZ,YUL,AC402,0,1152,ACA402,ACA
C05EA2,44.7582,-77.8448,242,28000,382,4324,F-CYRO3,A320,C-GJVT,1645968419,YOW,YYZ,AC443,0,0,ACA443,ACA
C05EDF,51.0678,-113.3481,96,18400,405,1756,F-CYYC3,BCS3,C-GJYC,1645968417,YYC,YYZ,AC130,0,1856,ACA130,ACA
C0730E,53.2527,-112.1371,100,20075,428,1303,F-CYQF3,BCS3,C-GROV,1645968420,YEG,YUL,AC332,0,1472,ACA332,ACA
C02E9B,43.7333,-80.8457,269,28425,321,6357,F-CYXU1,E75S,C-FRQW,1645968419,YYZ,ORD,AC7453,0,1472,JZA7453,ACA
C043B7,43.0669,-80.6018,243,20525,367,2263,F-CYTZ2,A320,C-FZQS,1645968420,YYZ,SFO,AC737,0,1024,ACA737,ACA
C0583F,51.4665,-0.4835,270,0,14,7642,F-EGLL2,A333,C-GHKW,1645968379,LHR,YUL,AC865,1,0,ACA865,ACA
C05C7A,60.7156,-135.0748,340,0,9,3327,F-CYXY1,CRJ9,C-GJAN,1645968420,YXY,YVR,AC8888,1,0,JZA888,ACA
C05D56,50.2854,-106.2557,266,30350,365,1160,F-KXWA1,CRJ9,C-GJIZ,1645968417,YQR,YVR,AC8189,0,1280,JZA189,ACA
C02FED,19.4373,-99.0755,241,0,0,4342,F-MMMX8,B38M,C-FSDW,1645968417,MEX,YVR,AC997,1,0,ACA997,ACA
C067E7,45.4661,-73.7476,357,0,0,6270,F-CYUL4,CRJ2,C-GNJA,1645968416,YUL,YQM,AC7992,1,0,JZA7992,ACA
C00B7E,45.4575,-73.755,28,0,0,6544,F-CYUL4,E75S,C-FEJD,1645968396,YUL,EWR,AC7588,1,0,JZA7588,ACA
C0173A,45.4644,-73.7501,357,0,8,6542,F-CYUL4,B77W,C-FIUR,1645968419,YUL,CUN,AC926,1,0,ACA926,ACA
C054A0,61.9819,-114.4267,179,15350,301,5236,F-CYZF1,DH8D,C-GGBF,1645968418,YZF,YYC,AC8456,0,1664,JZA456,ACA
C010E4,43.6804,-79.622,317,0,4,0521,F-CYYZ3,A320,C-FGKH,1645968420,YYZ,YOW,AC442,1,0,ACA442,ACA
C01C02,28.4313,-81.2971,8,0,23,2664,F-KMCO1,A320,C-FKPT,1645968401,MCO,YYZ,AC1083,1,0,ACA1083,ACA
C05BCB,43.6785,-79.6132,78,0,3,6346,F-CYYZ2,A321,C-GITU,1645968420,YYZ,PHX,AC1287,1,0,ACA1287,ACA
3C64F4,50.4709,5.6101,104,31400,406,5214,F-EDFH1,A343,D-AIGT,1645968420,SJO,FRA,LH519,0,-1984,DLH519,DLH
3C4B26,50.5104,5.8816,108,30475,444,1146,F-EDKA1,B748,D-ABYF,1645968418,MEX,FRA,LH499,0,-2176,DLH499,DLH
3C6704,49.7432,12.1572,189,26950,512,3513,F-LKKV2,A359,D-AIXD,1645968418,YVR,MUC,LH477,0,-832,DLH477,DLH
3C6573,41.0886,35.5104,289,38000,430,3275,F-LTFH2,A333,D-AIKS,1645968418,MLE,FRA,LH705,0,0,DLH705,DLH
3C6706,54.162,-41.1492,77,40992,560,0000,F-SAT6,A359,D-AIXF,1645968417,SFO,MUC,LH459,0,0,DLH459,DLH
3C6702,6.3167,9.4476,2,40000,508,4772,F-EST,A359,D-AIXB,1645968413,CPT,MUC,LH575,0,0,DLH575,DLH
3C4B21,41.7318,36.5405,271,40025,447,3206,F-LTFH2,B748,D-ABYA,1645968418,PEK,FRA,LH725,0,0,DLH725,DLH
3C64ED,63.0427,-41.3938,273,34000,462,3476,F-BGKK1,A343,D-AIGM,1645968419,FRA,DFW,LH438,0,-64,DLH438,DLH
3C656B,61.1333,-33.0956,271,36004,414,0000,F-SAT2,A333,D-AIKK,1645968421,FRA,IAH,LH440,0,0,DLH440,DLH
3C4B28,51.3215,-38.7967,247,34016,448,0000,F-SAT2,B748,D-ABYH,1645968417,FRA,MIA,LH462,0,0,DLH462,DLH
3C64A6,32.005,34.873,185,0,0,5575,F-LLSD2,A21N,D-AIEF,1645968388,FRA,TLV,LH686,1,0,DLH686,DLH
3C4B35,62.7304,-36.2193,281,34000,483,2324,F-BGKK1,B748,D-ABYU,1645968420,FRA,LAX,LH456,0,0,DLH456,DLH
3C64A1,49.3689,5.4622,74,35950,413,1000,F-ETAD1,A21N,D-AIEA,1645968420,FNC,FRA,LH1171,0,-128,DLH55T,DLH
3C65CB,34.8706,33.6101,225,0,0,7644,F-LCLK2,A20N,D-AINK,1645968370,FRA,LCA,LH1292,1,0,DLH1292,DLH
3C4B2A,61.822,-31.387,266,33000,480,2316,F-EST,B748,D-ABYJ,1645968421,FRA,ORD,LH430,0,0,DLH430,DLH
3C64A2,33.4619,-16.062,216,14775,434,0626,F-LPMA8,A21N,D-AIEB,1645968420,FRA,FNC,LH1170,0,-2368,DLH63X,DLH
3C64EC,57.7226,-25.8836,279,35000,412,0000,F-SAT2,A343,D-AIGL,1645968421,FRA,JFK,LH400,0,0,DLH400,DLH
3C656E,58.4607,-23.6215,283,37996,405,0000,F-SAT2,A333,D-AIKN,1645968413,FRA,BOS,LH422,0,0,DLH5EJ,DLH
3C66A9,35.4927,31.0917,111,37025,491,7705,F-LTAI1,A320,D-AIUI,1645968419,FRA,BEY,LH1306,0,0,DLH1306,DLH
